price,postcode,lat,lon
290000,SW4 6BD,51.463150,-0.136474
430000,TQ9 6BP,50.484697,-3.689502
715000,CM15 0LD,51.691128,0.274602
140000,E17 8AG,51.578828,-0.036042
447500,OX9 3QY,51.738872,-0.937265
242000,TW8 0QD,51.487931,-0.307692
87000,BD18 4QN,53.832200,-1.785680
80500,CF62 4PZ,51.400762,-3.413930
118000,PR7 2TZ,53.651732,-2.627404
249000,UB4 0NL,51.515555,-0.390779
249000,DE11 0DN,52.790189,-1.564243
78000,NP20 2ED,51.581737,-2.993273
210000,N21 3NU,51.631921,-0.099453
225000,BN3 3TD,50.832830,-0.170568
350000,WR3 8TD,52.240702,-2.173269
235000,DL3 7SX,54.522576,-1.566312
202000,CT4 6EX,51.200746,1.177973
400000,PL12 6SL,50.470224,-4.235578
99499,BL9 5DA,53.599777,-2.290464
130000,LE2 1YN,52.615176,-1.123753
135000,LE2 1YN,52.615176,-1.123753
124500,LE2 1YN,52.615176,-1.123753
110000,CH61 7UQ,53.353151,-3.094409
110000,WS7 3XY,52.672453,-1.936129
91000,M11 4RD,53.482558,-2.176223
170000,FY5 4BL,53.877558,-3.010814
155000,TS12 1DH,54.584126,-0.972321
74950,CH45 2LY,53.437382,-3.043719
120700,SO50 5SN,50.967052,-1.362636
295000,OX15 4ET,52.016874,-1.375587
119000,BD21 1JB,53.861096,-1.915943
113000,SK5 6SR,53.444753,-2.150080
225000,CT4 7JR,51.257230,1.013794
215000,WF1 2BG,53.703492,-1.514566
275000,CH3 5BF,53.192728,-2.873615
180000,SP5 3EY,51.061968,-1.766638
80000,EX8 1HA,50.619477,-3.413054
174950,GU30 7EX,51.071178,-0.803558
255000,W4 5RR,51.492876,-0.272765
4950000,SW7 3AJ,51.492180,-0.176336
82500,WA1 2JD,53.386784,-2.579762
125000,WA1 1HE,53.387049,-2.595282
177000,PL14 5DX,50.488851,-4.468691
485000,WD23 1NS,51.632291,-0.337177
630000,SW7 4BE,51.496574,-0.187480
565000,NW8 9NR,51.530522,-0.177655
145000,SY1 2DJ,52.711873,-2.750572
150000,SA33 4AH,51.820674,-4.500265
450000,TQ14 9JH,50.551033,-3.505499
115000,NN9 5FD,52.326462,-0.613697
441000,S11 9AA,53.363185,-1.492083
465000,S17 4HX,53.319418,-1.520089
167000,BA11 1HW,51.225756,-2.324164
149950,L2 5QS,53.407018,-2.987693
125000,LE10 1UF,52.536003,-1.370140
530000,LN5 0AT,53.119725,-0.481780
365000,TR26 2PQ,50.199355,-5.475227
145800,M3 4NJ,53.475591,-2.252054
700000,PR8 2JR,53.636271,-3.024452
400000,TN39 4QB,50.844690,0.428355
201000,HP3 9DJ,51.738751,-0.472681
115000,NN9 5FD,52.326462,-0.613697
127500,NP20 3EE,51.583259,-3.012950
186500,BB8 8DD,53.856699,-2.139697
192000,SO21 1QB,51.018735,-1.316146
90000,PL26 8PE,50.394867,-4.793664
172500,DE4 5GR,53.113797,-1.506811
235000,CO5 9NG,51.839335,0.707049
523000,IP11 7LZ,51.964412,1.366370
21000,BD7 3EY,53.782675,-1.784613
167000,TQ6 0JE,50.366977,-3.636893
161000,AL2 1HS,51.729573,-0.299830
280000,NG1 7AS,52.951529,-1.149851
189000,LN11 0AD,53.376282,0.001810
278000,HP4 1RQ,51.839704,-0.558954
429995,IG9 5DJ,51.625479,0.036027
127500,HR3 5LP,52.047156,-3.208455
150000,NE20 0RP,55.041456,-1.953134
180000,NG1 7AS,52.951529,-1.149851
110000,CA13 0AD,54.660301,-3.371045
92308,HP4 3EX,51.761034,-0.571339
65000,S6 1TG,53.410923,-1.504664
200000,GL9 1HH,51.526624,-2.275962
250000,SW4 6BD,51.463150,-0.136474
59995,BA11 5AD,51.221259,-2.321340
190000,SW4 6JQ,51.469072,-0.128216
75000,TN38 0TY,50.863547,0.552836
163500,BN2 0BL,50.823959,-0.123406
230000,CB21 5LU,52.143530,0.345617
122000,L2 5QS,53.407018,-2.987693
410000,SW4 6BD,51.463150,-0.136474
125000,NP20 4PH,51.589761,-3.004656
200000,CF36 5PH,51.483340,-3.681469
220000,PL24 2NR,50.362700,-4.718833
137500,BA14 0EH,51.306476,-2.228804
265000,SW4 6BD,51.463150,-0.136474
315000,SW4 6BD,51.463150,-0.136474
120000,BN3 3TD,50.832830,-0.170568
310000,SY9 5AA,52.490746,-2.998020
249000,SY23 5LF,52.264228,-4.132050
199000,SO41 0TY,50.743182,-1.586374
110000,BA14 0EH,51.306476,-2.228804
97000,CA10 1EU,54.777139,-2.712865
77000,TN38 0TY,50.863547,0.552836
57500,BD18 4QN,53.832200,-1.785680
59950,BD18 4QN,53.832200,-1.785680
143000,OX7 3NR,51.900491,-1.527397
74000,CF5 5HY,51.472813,-3.248835
169500,BN3 3TD,50.832830,-0.170568
114500,NG15 6ER,53.024615,-1.221009
192000,SO30 3HA,50.927048,-1.324908
124000,LS21 1EG,53.905195,-1.641488
20000,DN32 9LT,53.557887,-0.075669
91000,L17 9PB,53.375555,-2.942262
136950,ST14 8LD,52.874614,-1.802875
177000,SO21 1QB,51.018735,-1.316146
331000,TA18 7PJ,50.901849,-2.750923
465000,ST12 9AG,52.944386,-2.157373
25000,CH44 9DD,53.411981,-3.028022
350000,CR0 5NS,51.368768,-0.089308
385000,HD9 2SS,53.557063,-1.794619
151000,NG1 7AS,52.951529,-1.149851
115000,IP11 7LZ,51.964412,1.366370
20000,BD7 3EY,53.782675,-1.784613
126000,RM16 6AP,51.484810,0.289729
57995,CO12 5ER,51.930802,1.227218
99250,RM16 4DS,51.480523,0.374994
390000,SK6 6NL,53.404328,-2.075768
30000,NN5 5BJ,52.242656,-0.920001
90750,NN5 5BJ,52.242656,-0.920001
139995,NR2 4GZ,52.641037,1.274840
25500,WS2 8QB,52.590897,-1.994436
39000,LL16 5UG,53.224016,-3.421011
55000,CA6 5SE,55.007594,-2.970946
180000,SE1 4PT,51.498398,-0.082220
45000,NP11 5FP,51.660993,-3.135650
78000,BS10 5LW,51.497898,-2.596687
147000,WV6 8TA,52.585761,-2.192229
138250,TR14 7RJ,50.206947,-5.296702
60000,NP20 4PH,51.589761,-3.004656
89950,DY7 6DX,52.449121,-2.237113
102995,YO24 4BR,53.955852,-1.099141
86250,ST14 8LD,52.874614,-1.802875
96995,SN2 2DG,51.559870,-1.801578
174950,TW8 0QD,51.487931,-0.307692
147000,N10 2HX,51.604751,-0.146438
175000,HP4 3EX,51.761034,-0.571339
95000,N9 0SJ,51.625411,-0.054504
73450,PR9 8RG,53.676156,-2.920361
75000,NE66 1EN,55.409113,-1.718819
154000,NR34 7NH,52.399324,1.634188
190000,NR10 4AA,52.770751,1.162854
106000,CV8 3FN,52.361805,-1.433302
110000,CT5 4FP,51.341862,1.003019
73950,NR31 9PT,52.572778,1.666482
218000,TQ9 6BP,50.484697,-3.689502
275000,BH14 9PU,50.720027,-1.933629
135000,N8 7QB,51.588027,-0.116475
55000,BB12 7AW,53.797601,-2.313859
150000,N12 9AY,51.612435,-0.160240
305000,N13 6DZ,51.609679,-0.099761
192550,W12 7BN,51.508266,-0.231919
525000,RG4 7QE,51.478417,-0.980537
460000,IG1 2QF,51.547176,0.077705
369000,M27 0EZ,53.504988,-2.359154
175000,FY5 3SQ,53.866866,-3.026220
60000,FY3 7HD,53.826732,-3.024251
3757500,SE21 7BD,51.444841,-0.082954
206000,LL30 1LX,53.321500,-3.809820
382000,SA2 9GR,51.627949,-3.993623
480000,TA11 6QL,51.052844,-2.735488
320000,BN18 0XJ,50.814720,-0.608657
162500,DN40 1JW,53.618771,-0.205325
102500,PE7 2LR,52.535771,-0.137774
50000,SR8 4JF,54.760855,-1.316360
180000,NN5 5BJ,52.242656,-0.920001
395500,BH24 3QE,50.860711,-1.828803
118450,PR2 2XB,53.759720,-2.734372
150000,LE67 9QG,52.700998,-1.304614
89950,NG2 4FH,52.950581,-1.124178
150000,LE12 6LY,52.831488,-1.170958
375000,LE12 6LY,52.831488,-1.170958
215000,NG1 7AS,52.951529,-1.149851
335800,S66 1EF,53.412563,-1.277774
347500,S17 4HX,53.319418,-1.520089
89000,NE40 4QN,54.962218,-1.771469
72950,NE8 3JD,54.960519,-1.586964
89995,GL17 9LG,51.836148,-2.575809
166000,IP19 9LB,52.330256,1.579245
55000,DL13 5LR,54.623670,-1.868106
225000,LE15 9PZ,52.588256,-0.720209
58000,CT6 5AW,51.371101,1.130268
94995,EN10 6BL,51.722430,-0.023773
109950,DL3 7BQ,54.528204,-1.565147
223000,SK8 7ES,53.363556,-2.178706
114950,DL3 7BQ,54.528204,-1.565147
75040,CR0 6AA,51.380444,-0.087862
138500,HP3 9DJ,51.738751,-0.472681
104950,DL3 7BQ,54.528204,-1.565147
132950,PE20 1XA,52.929107,-0.054488
150000,SO21 1QB,51.018735,-1.316146
165950,B13 9SL,52.443195,-1.879187
109950,DL3 7BQ,54.528204,-1.565147
143500,SO30 3HA,50.927048,-1.324908
120000,DT4 9AB,50.593916,-2.475363
83000,SN2 2DG,51.559870,-1.801578
164000,NR13 3BH,52.639292,1.547009
63000,BD24 9HD,54.066585,-2.274661
60000,BD18 4QN,53.832200,-1.785680
174950,B13 9SL,52.443195,-1.879187
124500,BN21 2LG,50.774791,0.271071
130000,TF2 0EX,52.689391,-2.460923
173950,B13 9SL,52.443195,-1.879187
128000,N8 7QB,51.588027,-0.116475
63500,BD18 4QN,53.832200,-1.785680
440000,NW3 7SY,51.555170,-0.191038
145000,BA1 2BL,51.382385,-2.366582
38000,CF34 9YP,51.607610,-3.655356
21000,DH5 9LX,54.823705,-1.461572
105000,TW8 0QD,51.487931,-0.307692
160000,SO21 1QB,51.018735,-1.316146
165000,S32 5RE,53.287173,-1.680756
136500,N10 2HX,51.604751,-0.146438
45000,HU18 1DA,53.910333,-0.170019
382000,GL54 5LL,51.952690,-1.965279
144000,SN10 2BQ,51.356496,-2.010348
145000,BR3 4PY,51.406327,-0.043342
225000,CB4 2JB,52.221547,0.133153
385000,SO41 6AL,50.786701,-1.600389
57950,BD18 4QN,53.832200,-1.785680
163000,DL3 7SX,54.522576,-1.566312
485000,OX18 3NY,51.779770,-1.589944
69950,ST3 2BF,52.981854,-2.163690
99995,SN2 2DG,51.559870,-1.801578
95950,NG16 2QW,52.994340,-1.284158
169950,CH3 5BF,53.192728,-2.873615
141500,CV5 9QD,52.437959,-1.557020
90000,TS15 9XL,54.510965,-1.355090
112000,L2 5QS,53.407018,-2.987693
184950,B13 9SL,52.443195,-1.879187
64000,TR6 0ND,50.347656,-5.151252
3500000,SW7 3AJ,51.492180,-0.176336
110000,BS25 1HF,51.315320,-2.833948
122300,LE67 6JS,52.685362,-1.403276
31500,LU2 0BZ,51.887551,-0.406508
175000,TQ7 2EF,50.263556,-3.668194
54750,EX7 9AE,50.580822,-3.473665
129000,NP8 1RS,51.905601,-3.212559
64000,CF11 0AB,51.453012,-3.190970
97000,NE10 9AY,54.940615,-1.563848
152500,DT11 9FA,50.822081,-2.127030
190000,OX15 4ET,52.016874,-1.375587
390000,HA2 8AX,51.567971,-0.353701
72300,YO13 0HJ,54.323478,-0.446714
107000,BH21 7NT,50.802166,-1.917090
100000,BS8 3JW,51.459152,-2.617843
401550,CM14 5SS,51.643626,0.234182
270000,SS15 6UH,51.571562,0.421316
350000,SS5 6BH,51.617357,0.618575
502500,CM6 1WT,51.876136,0.350137
335000,SS9 2AD,51.548682,0.650981
550000,EN9 2SD,51.726406,0.040301
220000,CO14 8PA,51.849961,1.271300
442000,SS6 8PD,51.580692,0.617693
500000,CO3 9FL,51.894951,0.843908
440000,CO5 7PT,51.813760,0.884630
320000,CO2 7RS,51.877552,0.902866
1077000,IG10 1NQ,51.651462,0.061972
200000,CO16 9NA,51.834739,1.141870
242500,CO15 4HR,51.807017,1.160050
295000,CO16 8DE,51.804290,1.137432
325000,SS12 0DW,51.614421,0.506931
304995,CM0 8FY,51.637109,0.800035
270000,CO9 3AG,51.991070,0.611402
644995,RM14 3EF,51.546897,0.403187
325000,CM2 9QJ,51.724782,0.480814
559995,CM8 1ZQ,51.791329,0.619303
235000,CO15 5DD,51.803965,1.182817
383000,SS8 8AE,51.523665,0.598405
250000,CO9 2EN,51.944319,0.643871
360000,SS5 5EG,51.604066,0.670298
380000,CM3 6LJ,51.672047,0.721463
388000,CM17 0NF,51.789060,0.147498
750000,CM4 0FR,51.709918,0.319477
1325000,CM4 9QD,51.660153,0.451890
117000,CO15 2ET,51.775082,1.118526
